bodeguita(1)^raghida,bodeguita(1)
aberrations^admirations^alterations^aspirations^collaborations^commemorations^configurations^considerations^cooperations(0)^cooperations(1)^corporation's^corporations^corporations'^corp's^corp.'s^corp's^corp.'s^declarations^decorations^deliberations^discolorations^exaggerations^expirations^federation's^federations^generation's^generations^inaugurations^incorporation's^incorporations^inspirations^lacerations^operation's^operations^operations'^perforations^preparations^reparations^restorations^reverberations^separations^ulcerations,aberrations^admirations^alterations^aspirations^cooperations(1)^corporation's^corporations^corporations'^corp's^corp.'s^corp's^corp.'s^declarations^decorations^expirations^federation's^federations^generation's^generations^inspirations^lacerations^operation's^operations^operations'^perforations^preparations^reparations^restorations^separations^ulcerations
zepa^zepa^zepa,zepa^zepa^zepa
balentine^ballentine^barentine(0)^galentine^gallentine^lentine^lentini^leontine(0)^piacentini^turrentine^volentine,balentine^ballentine^barentine(0)^galentine^gallentine^turrentine^volentine
wienerschnitzel^wienerschnitzel,wienerschnitzel^wienerschnitzel
associates(0)^associates'(1),associates(0)^associates'(1)
enunciate(0)^enunciate(1)^renunciate,enunciate(0)^enunciate(1)^renunciate
neuropathy(0)^neuropathy(2),neuropathy(0)^neuropathy(2)
kvitsinsky(0)^kvitsinsky(1),kvitsinsky(0)
advisedly(0)^advisedly(1),advisedly(0)^advisedly(1)
nonviolence^violence,nonviolence
kurihara^yoshihara,kurihara^yoshihara
agriculturally(0)^architecturally(0)^behaviorally^bilaterally^contradictorily^culturally^federally(0)^generally(0)^liberally(0)^literally(0)^multilaterally(0)^multilaterally(1)^naturally(0)^peripherally(0)^procedurally(0)^structurally^temporally^viscerally,culturally^federally(0)^generally(0)^liberally(0)^literally(0)^naturally(0)^structurally^temporally^viscerally
foreshadowing^overshadowing^shadowing,foreshadowing
subvolcanic^volcanic,subvolcanic
coordinates(1)^subordinates(0),coordinates(1)^subordinates(0)
alirio^cheerio,alirio
misreported^underreported,misreported
conformity^deformity^enormity(0)^enormity(1)^nonconformity^uniformity,conformity^deformity^enormity(0)^enormity(1)
eurodollars^petrodollars,eurodollars^petrodollars
literature^temperature(1),literature^temperature(1)
approvable^immovable^movable^provable^removable,approvable^immovable^removable
parsippany^whippany^whippany,parsippany
overfunded^underfunded,overfunded^underfunded
receptacle^skeptical(0),receptacle
adelphia^arkadelphia^delphia^philadelphia,adelphia
emigrations^integrations(0)^integrations(1),emigrations^integrations(0)^integrations(1)
additionally(1)^conditionally(1)^nutritionally(1)^traditionally(1)^unconditionally(1),additionally(1)^conditionally(1)^nutritionally(1)^traditionally(1)
amplifier^dehumidifier^emulsifier^fortifier^humidifier^identifier(0)^identifier(1)^magnifier^pacifier^purifier^qualifier^rectifier,amplifier^fortifier^magnifier^pacifier^purifier^qualifier^rectifier
amiable^enviable^invariable^irremediable^malleable^permeable^pitiable^unenviable^variable,amiable^enviable^malleable^permeable^pitiable^variable
deportations^exhortations,deportations^exhortations
dimunition^munition,dimunition
linear^minier^nonlinear^skinnier,nonlinear
animosities^atrocities^curiosities^velocities,atrocities^velocities
brierley^brierly^byerley^byerly^entirely^lyerly,entirely
angelenos(1)^angelinos^angelinos^avellino's,angelenos(1)^angelinos^angelinos^avellino's
axial^biaxial^coaxial,biaxial^coaxial
clintonomics^economics(0)^economics(1)^ergonomics^macroeconomics(0)^macroeconomics(1)^microeconomics^polyconomics^reaganomics,clintonomics^economics(0)^economics(1)^ergonomics^reaganomics
augustyniak^dominiak^marciniak^wawrzyniak,dominiak^marciniak^wawrzyniak
americorp(0)^americorps,americorp(0)^americorps
disseminates^emanates,disseminates
curricula^diverticula,curricula
deregulate^overregulate^regulate^reregulate,deregulate^reregulate
affirmation^confirmation^disinformation^information(0)^misinformation^reaffirmation^reconfirmation^reformation^transformation,affirmation^confirmation^information(0)^reformation^transformation
decesare^dicesare,decesare^dicesare
barradino^bernadino^bernardino(0)^ladino,barradino^bernadino^bernardino(0)
manufacture^remanufacture(1),manufacture
macchio^musacchio^nacchio,musacchio
bianchini^mancini,bianchini
capitalized^hospitalized^recapitalized^uncapitalized,capitalized^hospitalized
impediments^sediments,impediments
apparently^inherently(1)^transparently,apparently^inherently(1)^transparently
intimidation^liquidation^trepidation,liquidation^trepidation
aristocratic^autocratic^bureaucratic^democratic^hippocratic^socratic^technocratic^theocratic^undemocratic,autocratic^bureaucratic^democratic^hippocratic^technocratic^theocratic
beryllium^gilliam^psyllium,beryllium
naturally(1)^unnaturally^unnaturally^unnaturally^unnaturally,unnaturally^unnaturally^unnaturally^unnaturally
expatriate(0)^repatriate,expatriate(0)^repatriate
armenian^athenian^beethovenian^fenian^slovenian^tyrrhenian,armenian^athenian^slovenian^tyrrhenian
azevedo^quevedo,azevedo
dolorosa^ponderosa^verderosa,dolorosa^ponderosa^verderosa
kurokawa^momokawa^shimokawa,kurokawa^momokawa^shimokawa
hemophiliac(2)^pedophiliac,hemophiliac(2)^pedophiliac
alleghenies(0)^allegheny's(0),alleghenies(0)^allegheny's(0)
commentator's^commentators,commentator's^commentators
invertebrates(1)^vertebrates,invertebrates(1)
chariot^harriet^herriott(1)^iscariot^lariat^marriott^merriott^proletariat^secretariat,iscariot
fundamentals(1)^instrumentals(1),fundamentals(1)^instrumentals(1)
disinvestment(1)^investment(1)^reinvestment(1),disinvestment(1)^reinvestment(1)
destabilize^stabilize,destabilize
counterattacks(0)^counterattacks(1),counterattacks(0)^counterattacks(1)
affectation^expectation,affectation^expectation
brodzinski^budzinski^budzynski^chudzinski^dudzinski^gadzinski^grudzinski^jagodzinski^rudzinski^studzinski,jagodzinski
misrecognize^recognize,misrecognize
overstated^understated,overstated^understated
bartolo^debartolo(0)^dibartolo,debartolo(0)^dibartolo
jeremiah^nehemiah,jeremiah^nehemiah
cultivation^inactivation^univation,cultivation^univation
ceremonial^colonial^matrimonial^testimonial,colonial
aleo^daleo^pantaleo^pollio,pantaleo
administratively^authoritatively^creatively^qualitatively,creatively
ejaculation^formulation(1)^triangulation,formulation(1)
idealizes^realizes(1),idealizes
capable^incapable^inescapable,incapable
commemorates^emirates^emirates'^emirates^emirates',commemorates
desimone^disimone^simoni,desimone^disimone
awakening^reawakening,awakening
confiscation^obfuscation,confiscation^obfuscation
annotations^connotations^hesitations^rehabilitations(0)^rehabilitations(1)^reputations,annotations^connotations^hesitations^reputations
evacuees(0)^evacuees(1),evacuees(0)^evacuees(1)
militarists(0)^monetarists(0),militarists(0)^monetarists(0)
amerigo^perigo,amerigo
desegregate^segregate,desegregate
diodato^lodato,diodato
complicities^eccentricities,complicities
admirably^comparably(0)^considerably^favorably(0)^honorably^incomparably^inexorably^inseparably^intolerably^irreparably^measurably^memorably^miserably(0)^preferably(0)^unalterably^unfavorably,admirably^comparably(0)^favorably(0)^honorably^measurably^memorably^miserably(0)^preferably(0)
carborundum^corundum,carborundum
amazonian^andonian^apollonian^babylonian^bostonian^caledonian^devonian^draconian(0)^draconian(1)^estonian^gorgonian^houstonian(0)^houstonian(1)^jacksonian^jeffersonian^melkonian^newtonian^oregonian^patagonian^plutonian^simonian^smithsonian(0)^smithsonian(1)^usoniam^washingtonian^washingtonian,andonian^bostonian^devonian^draconian(0)^draconian(1)^estonian^gorgonian^houstonian(0)^houstonian(1)^jacksonian^melkonian^newtonian^plutonian^simonian^smithsonian(0)^smithsonian(1)^usoniam
augmentable^lamentable^presentable^preventable(0)^preventable(1)^rentable,augmentable^lamentable^presentable^preventable(0)^preventable(1)
actinidia^chlamydia(1)^lydia^numidia^nydia,chlamydia(1)^numidia
identified(0)^unidentified,identified(0)
misunderstand^understand,misunderstand
admonitions^ammunitions^definitions^premonitions,admonitions^ammunitions^definitions^premonitions
corrupted^interrupted(0)^interrupted(1)^uninterrupted^uninterrupted,interrupted(0)^interrupted(1)
o'bradovich^obradovich,o'bradovich^obradovich
exploration's^explorations^exploration's^explorations^orations,exploration's^explorations^exploration's^explorations
bonsignore^delsignore,bonsignore^delsignore
al.(1)^alabama,al.(1)^alabama
beneficial's^official's^officials^officials',beneficial's
consumerists(0)^humorists(0),consumerists(0)
revivalist^survivalist,revivalist^survivalist
pettinato^spampinato,pettinato^spampinato
determining^undetermining(1),determining
describable^indescribable,describable
ambulances(1)^benevolences,ambulances(1)
management(1)^micromanagement^mismanagement^nonmanagement,mismanagement^nonmanagement
espirito(0)^spirito,espirito(0)
algorithm^logarithm,algorithm^logarithm
corina^fiorina^zorina,fiorina
aquarius^gregarious^hilarious^marius^nefarious^precarious^stradivarius^tavoulareas^various^vicarious,aquarius^gregarious^hilarious^nefarious^precarious^vicarious
hochstetler(0)^hostetler^hostettler(0)^huffstetler(0)^hufstetler(0),hochstetler(0)^hostetler^hostettler(0)^huffstetler(0)^hufstetler(0)
cichowski^czechowski^orzechowski^wojciechowski,orzechowski^wojciechowski
adriano^aliano^ambriano^ambrosiano^andriano^anguiano^aviano^biviano^caggiano^caltabiano^campopiano^cangiano^casciano^casiano^christiano^ciano^cipriano^cirigliano^cogliano^corigliano^cristiano^damiano^fabiano^fasciano^feliciano(0)^feliciano(1)^foppiano^gagliano(0)^gagliano(1)^galiano^galliano^giuliano^graciano^graziano^guiliano^iliano^italiano^iuliano(0)^iuliano(1)^juliano^justiniano^luciano^magliano^marciano^mariano^mastriano^miano^momigliano^ottaviano^picciano^primiano^ricigliano^rutigliano^saviano^schiano^siano^siciliano^soriano^stagliano^suriano^terracciano^tiano^triano^troiano^trupiano^uliano^valeriano^veneziano^viano^viggiano^vitagliano^viviano,adriano^aliano^ambriano^andriano^anguiano^aviano^biviano^caggiano^cangiano^casciano^casiano^christiano^cipriano^cogliano^cristiano^damiano^fabiano^fasciano^foppiano^gagliano(0)^gagliano(1)^galiano^galliano^giuliano^graciano^graziano^guiliano^iliano^iuliano(1)^juliano^luciano^magliano^marciano^mariano^mastriano^picciano^primiano^saviano^soriano^stagliano^suriano^troiano^trupiano^uliano^viggiano^viviano
kozakiewicz^novakovich,kozakiewicz^novakovich
dipiazza(0)^dipiazza(1),dipiazza(0)^dipiazza(1)
atlantic(0)^bankatlantic^transatlantic(0),bankatlantic^transatlantic(0)
gradualist^spiritualist,gradualist
agronomist^economist(0)^economist(1),agronomist^economist(0)^economist(1)
giannetti^lionetti(0)^lionetti(1),lionetti(0)^lionetti(1)
agostino^faustino^postino,agostino
abolition^coalition^demolition,abolition^coalition^demolition
contemporaneous^extraneous^miscellaneous^percutaneous^simultaneous^spontaneous,extraneous^spontaneous
television's^televisions,television's^televisions
applying^misapplying^supplying,misapplying
disinvited^invited(1)^reinvited^uninvited,disinvited^reinvited^uninvited
avera^primavera^talavera^tavera,primavera^talavera
arteriosclerosis^cirrhosis^heterosis^sclerosis,heterosis
scientific's^scientifics,scientific's^scientifics
enomoto^komoto,enomoto
electronic^isoelectronic(0)^isoelectronic(1)^microelectronic,electronic
audience's^audiences^audience's^audiences,audience's^audiences^audience's^audiences
authoritative^imitative^meditative^qualitative^rehabilitative(0)^rehabilitative(1),imitative^meditative^qualitative
liable^pliable^reliable(0)^reliable(1)^undeniable^unjustifiable^unreliable^unreliable^unverifiable^viable,reliable(0)^reliable(1)
integrated's(0)^integrated's(1),integrated's(0)^integrated's(1)
adolescence(0)^coalescence^convalescence^obsolescence,adolescence(0)^coalescence^convalescence^obsolescence
botany^monotony^neoteny^paleobotany,monotony^neoteny
accessibility^advisability^availability(1)^believability^collectibility^comparability^convertibility^credibility^culpability^deniability^dependability^desirability^disability(0)^durability^eligibility^enforceability^facility^fallibility^favorability^fertility(1)^flammability^gentility^gullibility^humility^immobility^impossibility^inability^incivility^incompatibility^indestructibility^inevitability^infallibility^infertility^inflexibility^instability^invincibility^invulnerability^liability^maneuverability(0)^maneuverability(1)^marketability^miscibility^mobility(1)^motility^nonutility^permeability^plausibility^portability^predictability^profitability^readability^realty(1)^respectability^sensibility^stability^sterility^suitability^survivability^sustainability^taxability^tranquility^transferability^unavailability^unbreakability^unpredictability^unprofitability^unreliability^variability^visibility^vulnerability,facility^fertility(1)^gentility^humility^mobility(1)^motility^stability^sterility^tranquility
impossible^possible^rosabelle,impossible
antigone's^antigones,antigone's^antigones
costantini^fantini^vantine,costantini
alliterative(0)^co-operative(0)^corroborative(0)^degenerative^federative(0)^figurative^generative^inoperative^operative^recuperative^remunerative^uncooperative^vituperative^vituperative,federative(0)^figurative^generative^operative
christoffersen(1)^christofferson^christopherson,christoffersen(1)^christofferson^christopherson
theatergoers(0)^theatergoers(1),theatergoers(0)
escalante^galante^pallante,escalante
defilippo^difilippo,defilippo^difilippo
antagonist^protagonist,antagonist^protagonist
dissimilar^kimler(0)^similar^simler(0),dissimilar
accumulations^appalachians(1)^appellations^calculations^cancellations^circulations^compilations^congratulations^consolations^constellation's^constellations^correlations^inoculations^installations^manipulations^miscalculations^mutilations^oscillations^ovulations^populations^regulations^revelations^simulations(1)^speculations^stipulations^strangulations^tabulations^tribulations^violations,appalachians(1)^appellations^calculations^cancellations^circulations^compilations^consolations^constellation's^constellations^correlations^installations^mutilations^oscillations^ovulations^populations^regulations^revelations^simulations(1)^speculations^stipulations^strangulations^tabulations^tribulations^violations
abnormality^actuality^bisexuality^brutality(0)^commonality^confidentiality(0)^confidentiality(1)^congeniality^criticality^dimensionality^duality^extraterritoriality^fatality(0)^finality^formality^frugality^generality^geniality^homosexuality^hospitality^impersonality^irrationality^legality^lethality^liberality^locality^mentality(0)^modality^morality^mortality^municipality^musicality^nationality(0)^neutrality^normality^partiality^practicality^reality^sensuality^sexuality^spirituality^theatricality^tonality^totality^triviality^universality^unreality^vitality,brutality(0)^duality^fatality(0)^finality^formality^frugality^legality^lethality^locality^mentality(0)^modality^morality^mortality^neutrality^normality^reality^tonality^totality^vitality
